frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
305.6333333333333,294.0,106.14910372783287,141.0,618.0,108.63333333333334,40.0,122.53257616741038,40.0,435.0,63.033339999999995,1e-05,124.49406698759238,1e-05,484.8,0.0,0.0,0.0,0.0,0.0
332.2,288.5,201.97663231176023,135.0,902.0,120.5,40.0,153.12103056079528,40.0,708.0,80.15334033333335,1e-05,151.74442779470434,1e-05,616.6,0.0,0.0,0.0,0.0,0.0
215.6,66.5,372.11164095380485,0.0,1606.0,194.76666666666668,55.5,227.2912497704701,0.0,723.0,161.17999999999998,24.599999999999998,186.42937429493242,0.0,700.8,0.0,0.0,0.0,0.0,0.0
391.15,90.5,489.69928953049,0.0,1648.0,313.35,150.0,324.4512713798484,0.0,724.0,266.68666666666667,128.5,300.24439015945364,0.0,1306.8,0.0,0.0,0.0,0.0,0.0
365.31666666666666,70.5,479.9170932451655,0.0,1558.0,269.03333333333336,29.0,296.5011504568274,0.0,724.0,211.13666666666668,1.5999999999999979,242.0070288005885,0.0,679.0,0.0,0.0,0.0,0.0,0.0
338.1,152.5,420.6749616192213,0.0,1589.0,316.43333333333334,171.0,330.63093052862166,0.0,723.0,275.4133333333333,128.5,297.3428388615106,0.0,750.6,0.0,0.0,0.0,0.0,0.0
383.4166666666667,74.5,497.50294108566726,0.0,1507.0,291.35,56.0,326.0916959486498,0.0,899.0,262.76666666666665,25.099999999999998,310.7789078357081,0.0,872.6,0.0,0.0,0.0,0.0,0.0
242.03333333333333,75.5,344.1207620718182,0.0,1321.0,331.8,157.5,362.2366537684078,0.0,1409.0,325.02666666666664,127.8,362.4160159571073,0.0,1291.2,0.0,0.0,0.0,0.0,0.0
321.03333333333336,75.5,432.84438953919175,0.0,1307.0,325.15,56.0,352.22766430250755,0.0,900.0,317.40999999999997,25.099999999999998,351.861083241668,0.0,968.6,0.0,0.0,0.0,0.0,0.0
267.06666666666666,75.5,392.3437636676399,0.0,1523.0,314.05,56.0,344.80097761849026,0.0,899.0,308.87,25.099999999999998,347.0757589249548,0.0,969.0,0.0,0.0,0.0,0.0,0.0
223.46666666666667,75.5,304.34757907512403,0.0,1220.0,320.98333333333335,56.0,351.30824507198173,0.0,899.0,325.72333333333336,25.099999999999998,357.6546921108248,0.0,969.4,0.0,0.0,0.0,0.0,0.0
184.06666666666666,75.5,243.75697368941513,0.0,1224.0,253.11666666666667,56.0,329.0696021445243,0.0,1235.0,244.02,25.099999999999998,334.98392936577324,0.0,1318.8,0.0,0.0,0.0,0.0,0.0
265.01666666666665,75.5,360.2717720308132,0.0,1226.0,258.0,56.0,352.58157448548934,0.0,1430.0,253.21333333333334,25.099999999999998,365.6504357382274,0.0,1606.4,0.0,0.0,0.0,0.0,0.0
207.66666666666666,75.5,282.0911003362014,0.0,1220.0,277.76666666666665,56.0,372.7901271344091,0.0,1429.0,272.85,25.099999999999998,386.83584912294094,0.0,1500.2,0.0,0.0,0.0,0.0,0.0
305.05,75.5,439.5086053385834,0.0,1591.0,298.73333333333335,56.0,370.6675899269077,0.0,1408.0,284.24,25.099999999999998,372.06356768702847,0.0,1474.0,0.0,0.0,0.0,0.0,0.0
220.91666666666666,75.5,299.7322856409625,0.0,1219.0,309.18333333333334,56.0,405.6576755371728,0.0,1409.0,311.5833333333333,25.099999999999998,432.01836117101425,0.0,1582.6,0.0,0.0,0.0,0.0,0.0
244.25,75.5,339.5529229737244,0.0,1225.0,313.78333333333336,56.0,398.9387627053668,0.0,1410.0,316.2,25.099999999999998,418.53716680839705,0.0,1477.4,0.0,0.0,0.0,0.0,0.0
263.8,75.5,363.373719467988,0.0,1252.0,288.93333333333334,20.0,360.8955927811933,0.0,1409.0,275.8533335,5e-06,368.4902491657969,0.0,1576.4,0.0,0.0,0.0,0.0,0.0
258.76666666666665,75.5,334.04562396308813,0.0,1252.0,314.43333333333334,56.0,370.4317016071323,0.0,899.0,315.84666666666664,25.099999999999998,383.3160530018132,0.0,969.4,0.0,0.0,0.0,0.0,0.0
269.06666666666666,75.5,336.5743536806622,0.0,1269.0,326.9166666666667,56.0,376.7302877686133,0.0,1129.0,322.93666666666667,25.099999999999998,389.10491214524075,0.0,1224.4,0.0,0.0,0.0,0.0,0.0
234.76666666666668,75.5,311.2244831128953,0.0,1249.0,320.2,56.0,387.6245520259692,0.0,1129.0,325.78000000000003,25.099999999999998,411.01935185584637,0.0,1225.2,0.0,0.0,0.0,0.0,0.0
257.65,74.5,371.60941973170344,0.0,1622.0,344.28333333333336,56.0,417.5990537851137,0.0,1430.0,342.6866666666666,25.099999999999998,434.5270323262089,0.0,1604.0,0.0,0.0,0.0,0.0,0.0
278.3333333333333,75.5,364.25314762614687,0.0,1521.0,349.8666666666667,56.0,434.5606389088741,0.0,1410.0,343.4,25.099999999999998,445.9076571070144,0.0,1484.8,0.0,0.0,0.0,0.0,0.0
190.01666666666668,74.5,234.11126212883386,0.0,679.0,340.8,155.5,406.48332479123104,0.0,1410.0,352.7133333333333,139.2,433.3665782632016,0.0,1584.8,0.0,0.0,0.0,0.0,0.0
296.3666666666667,75.5,404.449913119316,0.0,1604.0,340.1666666666667,20.0,405.2413341317602,0.0,1410.0,340.0966668333333,5e-06,428.0108182536863,0.0,1584.4,0.0,0.0,0.0,0.0,0.0
