frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
182.6,301.0,149.13698401134442,0.0,311.0,260.7,434.0,212.86101099074014,0.0,435.0,31859.612799797025,52924.42805559744,26013.441364630507,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
152.425,142.0,152.49948975324475,0.0,317.0,214.6,161.0,215.30418017307514,0.0,436.0,25961.672618768294,15191.651298675926,26195.916895234477,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
154.85,150.5,155.09715503515852,0.0,349.0,217.525,217.0,217.52574416606416,0.0,436.0,26477.779567707144,25944.557372266983,26478.82910107753,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
136.95,66.5,144.431809169587,0.0,359.0,204.8,152.0,207.86945422548257,0.0,436.0,24329.695456387297,14800.539292514302,25117.75623644757,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
142.85,66.5,147.21541189698854,0.0,312.0,211.375,155.0,212.98200481496082,0.0,436.0,25506.94238525185,15703.538616781027,25906.147718035707,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
151.575,150.5,151.5974748305525,0.0,317.0,217.425,217.0,217.4258364937341,0.0,436.0,26565.237277148222,26382.474127927766,26565.32615227813,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
147.625,68.5,149.86054976210383,0.0,313.0,214.2,155.0,215.06013112615736,0.0,436.0,26016.83864777448,15703.538616781027,26231.20767556763,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
151.2,150.5,151.2157729868151,0.0,313.0,217.325,217.0,217.3256068092299,0.0,436.0,26575.06853044997,26435.71875654067,26575.130299930297,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
147.325,70.5,149.43566968766194,0.0,314.0,214.225,155.0,215.08550479983535,0.0,436.0,26025.53693903743,15668.169443529148,26241.650017928336,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
147.95,70.5,153.0439397689435,0.0,370.0,211.225,155.0,212.88194938744806,0.0,436.0,25353.47408211206,15668.169443529148,25764.196160772834,0.0,53186.81797169385,0.0,0.0,0.0,0.0,0.0
147.975,70.5,153.49812498854828,0.0,401.0,209.45,155.0,211.2369463422533,0.0,436.0,24999.974625821207,15668.169443529148,25512.540004472507,0.0,53212.820372429356,0.0,0.0,0.0,0.0,0.0
133.9,66.5,144.57243859048654,0.0,373.0,202.0,150.5,205.59073422700743,0.0,436.0,23776.072858775686,14752.50637250611,24675.36082151763,0.0,53212.820372429356,0.0,0.0,0.0,0.0,0.0
143.175,66.5,147.74875422486647,0.0,332.0,211.575,157.0,213.13386491827148,0.0,436.0,25514.97736536389,16094.539203850742,25898.885143322506,0.0,53212.820372429356,0.0,0.0,0.0,0.0,0.0
154.025,150.0,155.0865061022396,0.0,419.0,215.8,179.5,216.12140106893628,0.0,436.0,26090.11960658654,16828.99510970415,26262.624921741062,0.0,53212.820372429356,0.0,0.0,0.0,0.0,0.0
144.425,70.5,148.75884637560213,0.0,337.0,211.45,155.5,213.0745116150686,0.0,436.0,25462.737443370297,15756.86293735459,25867.634649705957,0.0,53212.820372429356,0.0,0.0,0.0,0.0,0.0
154.85,150.0,156.1669859477348,0.0,429.0,224.6,217.0,228.49045931942103,0.0,708.0,28446.241076318536,26083.660425169022,30728.847645481233,0.0,128529.30064849366,0.0,0.0,0.0,0.0,0.0
152.3,70.5,162.52695161110972,0.0,429.0,235.25,154.5,251.28178903374592,0.0,708.0,32355.206596412674,15577.55102824326,39629.0081427991,0.0,128529.30064849366,0.0,0.0,0.0,0.0,0.0
175.525,75.5,199.03265906629494,0.0,725.0,266.8,136.5,295.35175638550044,0.0,724.0,41609.09854108088,11561.358042527252,52479.28575337873,0.0,130213.28296582232,0.0,0.0,0.0,0.0,0.0
311.975,77.5,539.242036913852,0.0,2121.0,287.45,157.5,301.9583539165625,0.0,709.0,39122.26306116516,1589.0675767761568,51477.884921655466,0.0,129181.36547432758,0.0,0.0,0.0,0.0,0.0
241.125,76.5,368.2300359489975,0.0,2155.0,304.3,155.5,324.71550625124144,0.0,900.0,48900.66265782516,15647.751313411509,58635.343351416755,0.0,192701.84351481235,0.0,0.0,0.0,0.0,0.0
445.45,170.0,703.0304740905617,0.0,2466.0,335.35,188.5,343.88315966327866,0.0,899.0,46851.9088567866,1554.5227689973326,60844.68676721832,0.0,192855.16664295434,0.0,0.0,0.0,0.0,0.0
296.525,80.5,472.48687746327937,0.0,2136.0,327.55,156.0,350.1648147658471,0.0,1126.0,53922.78534641881,1070.0415634333694,70976.2089853304,0.0,296357.49016702926,0.0,0.0,0.0,0.0,0.0
303.675,160.5,400.16755162681545,0.0,2063.0,353.0,157.0,391.14172623232105,0.0,1129.0,65477.85066414991,3578.6714585547816,89162.5484654872,0.0,296399.64515084884,0.0,0.0,0.0,0.0,0.0
254.1,81.5,279.7690833526821,0.0,729.0,351.675,155.0,382.3448304541334,0.0,1128.0,66333.41560838462,15464.78821587882,81131.00515403574,0.0,297313.8367238752,0.0,0.0,0.0,0.0,0.0
248.0,75.5,360.63652061320687,0.0,1982.0,268.55,156.0,319.147062496273,0.0,1128.0,42853.216247566255,5e-06,71205.90772464339,0.0,295499.4996335325,0.0,0.0,0.0,0.0,0.0
294.1,173.0,397.6700139562952,0.0,2129.0,341.475,188.0,367.42679457954614,0.0,1128.0,59991.51953404104,1312.481283891364,76407.22304133339,0.0,296964.26818079146,0.0,0.0,0.0,0.0,0.0
287.625,91.5,408.7650111922497,0.0,2214.0,323.875,148.0,371.92460173400735,0.0,1128.0,57285.033895470784,14049.882737306274,82797.41000866119,0.0,296651.57709164824,0.0,0.0,0.0,0.0,0.0
211.625,77.5,233.77090147193255,0.0,681.0,263.35,154.0,313.59667966992254,0.0,1125.0,42115.102682462966,15363.742276704565,67566.7762116574,0.0,295237.88855512027,0.0,0.0,0.0,0.0,0.0
263.875,81.5,303.7019252079249,0.0,805.0,358.05,155.0,395.5986571008552,0.0,1137.0,69171.77401120056,15464.78821587882,85469.51081355839,0.0,301459.4307237539,0.0,0.0,0.0,0.0,0.0
281.35,66.5,402.10132740392686,0.0,2126.0,302.1,156.0,344.5516506998624,0.0,1137.0,49610.09290139076,1416.2621506435462,72489.70916810031,0.0,302424.6317312122,0.0,0.0,0.0,0.0,0.0
